,support,itemsets
0,0.09982905982905983,frozenset({'analys'})
1,0.1664957264957265,frozenset({'analysi'})
2,0.1705982905982906,frozenset({'approach'})
3,0.09743589743589744,frozenset({'basic'})
4,0.14803418803418802,frozenset({'concept'})
5,0.09948717948717949,frozenset({'critic'})
6,0.0570940170940171,frozenset({'cultur'})
7,0.09504273504273504,frozenset({'current'})
8,0.06188034188034188,frozenset({'data'})
9,0.17777777777777778,frozenset({'design'})
10,0.5688888888888889,frozenset({'develop'})
11,0.06188034188034188,frozenset({'econom'})
12,0.07213675213675214,frozenset({'essay'})
13,0.052307692307692305,frozenset({'exampl'})
14,0.051623931623931626,frozenset({'field'})
15,0.051623931623931626,frozenset({'form'})
16,0.05811965811965812,frozenset({'histori'})
17,0.0652991452991453,frozenset({'implement'})
18,0.05504273504273504,frozenset({'industri'})
19,0.11282051282051282,frozenset({'inform'})
20,0.060854700854700856,frozenset({'introduc'})
21,0.09230769230769231,frozenset({'introduct'})
22,0.060854700854700856,frozenset({'languag'})
23,0.10803418803418803,frozenset({'learn'})
24,0.10461538461538461,frozenset({'literatur'})
25,0.1011965811965812,frozenset({'method'})
26,0.19247863247863248,frozenset({'modul'})
27,0.06222222222222222,frozenset({'perform'})
28,0.06598290598290599,frozenset({'polit'})
29,0.37777777777777777,frozenset({'practic'})
30,0.12547008547008548,frozenset({'process'})
31,0.10564102564102563,frozenset({'profession'})
32,0.09538461538461539,frozenset({'project'})
33,0.3682051282051282,frozenset({'research'})
34,0.06974358974358974,frozenset({'role'})
35,0.07692307692307693,frozenset({'seminar'})
36,0.24136752136752138,frozenset({'skill'})
37,0.08615384615384615,frozenset({'social'})
38,0.6273504273504273,frozenset({'student'})
39,0.16512820512820514,frozenset({'studi'})
40,0.14017094017094017,frozenset({'subject'})
41,0.10735042735042735,frozenset({'success'})
42,0.05333333333333334,frozenset({'taught'})
43,0.1029059829059829,frozenset({'teach'})
44,0.053675213675213676,frozenset({'technolog'})
45,0.18769230769230769,frozenset({'topic'})
46,0.09264957264957265,frozenset({'unavail'})
47,0.12034188034188034,frozenset({'write'})
48,0.05606837606837607,"frozenset({'develop', 'analys'})"
49,0.06735042735042734,"frozenset({'student', 'analys'})"
50,0.10632478632478633,"frozenset({'develop', 'analysi'})"
51,0.07111111111111111,"frozenset({'practic', 'analysi'})"
52,0.07897435897435898,"frozenset({'research', 'analysi'})"
53,0.11931623931623932,"frozenset({'student', 'analysi'})"
54,0.12478632478632479,"frozenset({'develop', 'approach'})"
55,0.08547008547008547,"frozenset({'practic', 'approach'})"
56,0.08376068376068375,"frozenset({'research', 'approach'})"
57,0.12410256410256411,"frozenset({'approach', 'student'})"
58,0.05299145299145299,"frozenset({'basic', 'develop'})"
59,0.06427350427350427,"frozenset({'basic', 'student'})"
60,0.09914529914529914,"frozenset({'develop', 'concept'})"
61,0.06290598290598291,"frozenset({'practic', 'concept'})"
62,0.10871794871794872,"frozenset({'concept', 'student'})"
63,0.06188034188034188,"frozenset({'develop', 'critic'})"
64,0.055384615384615386,"frozenset({'student', 'critic'})"
65,0.09264957264957265,"frozenset({'inform', 'current'})"
66,0.09230769230769231,"frozenset({'unavail', 'current'})"
67,0.14051282051282052,"frozenset({'design', 'develop'})"
68,0.09641025641025641,"frozenset({'design', 'practic'})"
69,0.09367521367521367,"frozenset({'design', 'research'})"
70,0.06358974358974359,"frozenset({'design', 'skill'})"
71,0.12957264957264958,"frozenset({'design', 'student'})"
72,0.0570940170940171,"frozenset({'develop', 'introduct'})"
73,0.09196581196581197,"frozenset({'develop', 'learn'})"
74,0.06393162393162394,"frozenset({'develop', 'literatur'})"
75,0.059487179487179485,"frozenset({'develop', 'method'})"
76,0.107008547008547,"frozenset({'modul', 'develop'})"
77,0.28512820512820514,"frozenset({'practic', 'develop'})"
78,0.08923076923076922,"frozenset({'process', 'develop'})"
79,0.08273504273504273,"frozenset({'develop', 'profession'})"
80,0.0735042735042735,"frozenset({'develop', 'project'})"
81,0.25435897435897437,"frozenset({'research', 'develop'})"
82,0.05128205128205128,"frozenset({'develop', 'role'})"
83,0.059487179487179485,"frozenset({'develop', 'seminar'})"
84,0.20376068376068376,"frozenset({'develop', 'skill'})"
85,0.4471794871794872,"frozenset({'develop', 'student'})"
86,0.09880341880341881,"frozenset({'develop', 'studi'})"
87,0.1011965811965812,"frozenset({'develop', 'subject'})"
88,0.07658119658119658,"frozenset({'develop', 'success'})"
89,0.07794871794871795,"frozenset({'teach', 'develop'})"
90,0.11931623931623932,"frozenset({'develop', 'topic'})"
91,0.07829059829059828,"frozenset({'write', 'develop'})"
92,0.06290598290598291,"frozenset({'student', 'essay'})"
93,0.09264957264957265,"frozenset({'unavail', 'inform'})"
94,0.06427350427350427,"frozenset({'student', 'introduct'})"
95,0.06598290598290599,"frozenset({'practic', 'learn'})"
96,0.057777777777777775,"frozenset({'skill', 'learn'})"
97,0.0947008547008547,"frozenset({'student', 'learn'})"
98,0.061196581196581196,"frozenset({'research', 'literatur'})"
99,0.07247863247863248,"frozenset({'literatur', 'student'})"
100,0.05264957264957265,"frozenset({'research', 'method'})"
101,0.07145299145299146,"frozenset({'method', 'student'})"
102,0.05880341880341881,"frozenset({'modul', 'practic'})"
103,0.06632478632478632,"frozenset({'modul', 'research'})"
104,0.14666666666666667,"frozenset({'modul', 'student'})"
105,0.05880341880341881,"frozenset({'process', 'practic'})"
106,0.07965811965811966,"frozenset({'practic', 'profession'})"
107,0.17675213675213675,"frozenset({'research', 'practic'})"
108,0.13572649572649573,"frozenset({'practic', 'skill'})"
109,0.3029059829059829,"frozenset({'practic', 'student'})"
110,0.057435897435897436,"frozenset({'practic', 'studi'})"
111,0.06598290598290599,"frozenset({'practic', 'subject'})"
112,0.05811965811965812,"frozenset({'teach', 'practic'})"
113,0.06358974358974359,"frozenset({'practic', 'topic'})"
114,0.05333333333333334,"frozenset({'process', 'research'})"
115,0.07658119658119658,"frozenset({'process', 'student'})"
116,0.055384615384615386,"frozenset({'research', 'profession'})"
117,0.08581196581196582,"frozenset({'profession', 'student'})"
118,0.06222222222222222,"frozenset({'research', 'project'})"
119,0.0823931623931624,"frozenset({'project', 'student'})"
120,0.11897435897435897,"frozenset({'research', 'skill'})"
121,0.27726495726495726,"frozenset({'research', 'student'})"
122,0.08205128205128205,"frozenset({'research', 'studi'})"
123,0.07623931623931623,"frozenset({'research', 'subject'})"
124,0.05982905982905983,"frozenset({'research', 'success'})"
125,0.050256410256410255,"frozenset({'research', 'teach'})"
126,0.1111111111111111,"frozenset({'research', 'topic'})"
127,0.06666666666666667,"frozenset({'write', 'research'})"
128,0.06700854700854701,"frozenset({'seminar', 'student'})"
129,0.19521367521367522,"frozenset({'skill', 'student'})"
130,0.05435897435897436,"frozenset({'skill', 'subject'})"
131,0.059145299145299146,"frozenset({'student', 'social'})"
132,0.13982905982905983,"frozenset({'student', 'studi'})"
133,0.11931623931623932,"frozenset({'student', 'subject'})"
134,0.08512820512820513,"frozenset({'student', 'success'})"
135,0.0505982905982906,"frozenset({'student', 'taught'})"
136,0.09641025641025641,"frozenset({'teach', 'student'})"
137,0.15794871794871795,"frozenset({'student', 'topic'})"
138,0.08512820512820513,"frozenset({'write', 'student'})"
139,0.05641025641025641,"frozenset({'studi', 'topic'})"
140,0.059145299145299146,"frozenset({'subject', 'topic'})"
141,0.05299145299145299,"frozenset({'practic', 'develop', 'analysi'})"
142,0.0547008547008547,"frozenset({'research', 'develop', 'analysi'})"
143,0.08341880341880342,"frozenset({'develop', 'student', 'analysi'})"
144,0.05641025641025641,"frozenset({'practic', 'student', 'analysi'})"
145,0.061196581196581196,"frozenset({'research', 'student', 'analysi'})"
146,0.06598290598290599,"frozenset({'practic', 'approach', 'develop'})"
147,0.06427350427350427,"frozenset({'research', 'approach', 'develop'})"
148,0.09606837606837607,"frozenset({'develop', 'approach', 'student'})"
149,0.06700854700854701,"frozenset({'practic', 'approach', 'student'})"
150,0.06256410256410257,"frozenset({'research', 'approach', 'student'})"
151,0.0776068376068376,"frozenset({'develop', 'concept', 'student'})"
152,0.05264957264957265,"frozenset({'practic', 'concept', 'student'})"
153,0.09230769230769231,"frozenset({'unavail', 'inform', 'current'})"
154,0.07965811965811966,"frozenset({'design', 'practic', 'develop'})"
155,0.07452991452991453,"frozenset({'design', 'research', 'develop'})"
156,0.06051282051282051,"frozenset({'design', 'develop', 'skill'})"
157,0.1052991452991453,"frozenset({'design', 'develop', 'student'})"
158,0.05504273504273504,"frozenset({'design', 'research', 'practic'})"
159,0.07418803418803419,"frozenset({'design', 'practic', 'student'})"
160,0.07726495726495726,"frozenset({'design', 'research', 'student'})"
161,0.0505982905982906,"frozenset({'design', 'skill', 'student'})"
162,0.0570940170940171,"frozenset({'practic', 'develop', 'learn'})"
163,0.051623931623931626,"frozenset({'develop', 'skill', 'learn'})"
164,0.08307692307692308,"frozenset({'develop', 'student', 'learn'})"
165,0.053675213675213676,"frozenset({'develop', 'literatur', 'student'})"
166,0.08923076923076922,"frozenset({'modul', 'develop', 'student'})"
167,0.06564102564102564,"frozenset({'practic', 'profession', 'develop'})"
168,0.14222222222222222,"frozenset({'develop', 'research', 'practic'})"
169,0.11931623931623932,"frozenset({'practic', 'skill', 'develop'})"
170,0.2358974358974359,"frozenset({'practic', 'develop', 'student'})"
171,0.051623931623931626,"frozenset({'practic', 'develop', 'subject'})"
172,0.050256410256410255,"frozenset({'develop', 'teach', 'practic'})"
173,0.06017094017094017,"frozenset({'process', 'develop', 'student'})"
174,0.06905982905982906,"frozenset({'develop', 'profession', 'student'})"
175,0.06564102564102564,"frozenset({'develop', 'project', 'student'})"
176,0.10085470085470086,"frozenset({'research', 'skill', 'develop'})"
177,0.20683760683760682,"frozenset({'research', 'develop', 'student'})"
178,0.05299145299145299,"frozenset({'research', 'develop', 'studi'})"
179,0.057777777777777775,"frozenset({'research', 'develop', 'subject'})"
180,0.07418803418803419,"frozenset({'research', 'develop', 'topic'})"
181,0.05333333333333334,"frozenset({'develop', 'seminar', 'student'})"
182,0.1664957264957265,"frozenset({'develop', 'skill', 'student'})"
183,0.09162393162393162,"frozenset({'develop', 'student', 'studi'})"
184,0.08957264957264957,"frozenset({'develop', 'student', 'subject'})"
185,0.06564102564102564,"frozenset({'develop', 'student', 'success'})"
186,0.07316239316239316,"frozenset({'teach', 'develop', 'student'})"
187,0.10427350427350428,"frozenset({'develop', 'student', 'topic'})"
188,0.06564102564102564,"frozenset({'write', 'develop', 'student'})"
189,0.05811965811965812,"frozenset({'practic', 'student', 'learn'})"
190,0.051623931623931626,"frozenset({'student', 'skill', 'learn'})"
191,0.050256410256410255,"frozenset({'modul', 'practic', 'student'})"
192,0.051623931623931626,"frozenset({'modul', 'research', 'student'})"
193,0.06632478632478632,"frozenset({'practic', 'profession', 'student'})"
194,0.07282051282051281,"frozenset({'research', 'skill', 'practic'})"
195,0.14632478632478632,"frozenset({'research', 'practic', 'student'})"
196,0.1111111111111111,"frozenset({'practic', 'skill', 'student'})"
197,0.051965811965811966,"frozenset({'practic', 'student', 'studi'})"
198,0.059145299145299146,"frozenset({'practic', 'student', 'subject'})"
199,0.05333333333333334,"frozenset({'teach', 'practic', 'student'})"
200,0.05606837606837607,"frozenset({'practic', 'student', 'topic'})"
201,0.05641025641025641,"frozenset({'research', 'project', 'student'})"
202,0.09675213675213676,"frozenset({'research', 'skill', 'student'})"
203,0.07692307692307693,"frozenset({'research', 'student', 'studi'})"
204,0.06700854700854701,"frozenset({'research', 'student', 'subject'})"
205,0.09504273504273504,"frozenset({'research', 'student', 'topic'})"
206,0.05435897435897436,"frozenset({'student', 'studi', 'topic'})"
207,0.05333333333333334,"frozenset({'student', 'subject', 'topic'})"
208,0.05333333333333334,"frozenset({'practic', 'approach', 'develop', 'student'})"
209,0.06222222222222222,"frozenset({'design', 'practic', 'develop', 'student'})"
210,0.060854700854700856,"frozenset({'design', 'research', 'develop', 'student'})"
211,0.051965811965811966,"frozenset({'practic', 'student', 'develop', 'learn'})"
212,0.055726495726495726,"frozenset({'practic', 'profession', 'develop', 'student'})"
213,0.06427350427350427,"frozenset({'develop', 'research', 'skill', 'practic'})"
214,0.11897435897435897,"frozenset({'develop', 'research', 'practic', 'student'})"
215,0.09743589743589744,"frozenset({'practic', 'skill', 'develop', 'student'})"
216,0.08341880341880342,"frozenset({'research', 'skill', 'develop', 'student'})"
217,0.05128205128205128,"frozenset({'research', 'develop', 'student', 'studi'})"
218,0.051623931623931626,"frozenset({'research', 'develop', 'student', 'subject'})"
219,0.06735042735042734,"frozenset({'research', 'develop', 'student', 'topic'})"
220,0.059487179487179485,"frozenset({'research', 'skill', 'practic', 'student'})"
221,0.05264957264957265,"frozenset({'research', 'student', 'develop', 'practic', 'skill'})"
