,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'student'}),frozenset({'academic'}),0.16103896103896104,0.03064935064935065,0.015064935064935066,0.0935483870967742,3.052214324767633,0.010129195479844831,1.0693903960807876
1,frozenset({'academic'}),frozenset({'student'}),0.03064935064935065,0.16103896103896104,0.015064935064935066,0.4915254237288136,3.0522143247676325,0.010129195479844831,1.6499567099567098
2,frozenset({'study'}),frozenset({'academic'}),0.23324675324675326,0.03064935064935065,0.016103896103896103,0.06904231625835189,2.2526518440224983,0.008955034575813797,1.041240290809669
3,frozenset({'academic'}),frozenset({'study'}),0.03064935064935065,0.23324675324675326,0.016103896103896103,0.5254237288135593,2.252651844022498,0.008955034575813797,1.6156586270871982
4,frozenset({'study'}),frozenset({'analyse'}),0.23324675324675326,0.03324675324675325,0.01090909090909091,0.0467706013363029,1.4067719933184857,0.003154393658289763,1.0141874013836631
5,frozenset({'analyse'}),frozenset({'study'}),0.03324675324675325,0.23324675324675326,0.01090909090909091,0.328125,1.4067719933184855,0.003154393658289763,1.1412141347025069
6,frozenset({'archaeology'}),frozenset({'archaeological'}),0.03116883116883117,0.02857142857142857,0.022857142857142857,0.7333333333333333,25.666666666666664,0.021966604823747682,3.642857142857142
7,frozenset({'archaeological'}),frozenset({'archaeology'}),0.02857142857142857,0.03116883116883117,0.022857142857142857,0.8,25.666666666666668,0.021966604823747682,4.844155844155845
8,frozenset({'archaeological'}),frozenset({'study'}),0.02857142857142857,0.23324675324675326,0.011948051948051949,0.4181818181818182,1.7928730512249444,0.005283858998144713,1.3178571428571428
9,frozenset({'study'}),frozenset({'archaeological'}),0.23324675324675326,0.02857142857142857,0.011948051948051949,0.051224944320712694,1.7928730512249444,0.005283858998144713,1.0238765928906775
10,frozenset({'archaeology'}),frozenset({'study'}),0.03116883116883117,0.23324675324675326,0.013506493506493506,0.43333333333333335,1.8578322197475872,0.0062364648338674306,1.3530939648586708
11,frozenset({'study'}),frozenset({'archaeology'}),0.23324675324675326,0.03116883116883117,0.013506493506493506,0.05790645879732739,1.8578322197475872,0.0062364648338674306,1.0283810751895859
12,frozenset({'assessment'}),frozenset({'develop'}),0.06493506493506493,0.10233766233766234,0.01090909090909091,0.16800000000000004,1.6416243654822338,0.004263788159892057,1.0789210789210788
13,frozenset({'develop'}),frozenset({'assessment'}),0.10233766233766234,0.06493506493506493,0.01090909090909091,0.10659898477157362,1.6416243654822338,0.004263788159892057,1.0466351829988194
14,frozenset({'assessment'}),frozenset({'student'}),0.06493506493506493,0.16103896103896104,0.01090909090909091,0.16800000000000004,1.0432258064516131,0.0004520155169505831,1.0083666333666335
15,frozenset({'student'}),frozenset({'assessment'}),0.16103896103896104,0.06493506493506493,0.01090909090909091,0.06774193548387097,1.0432258064516131,0.0004520155169505831,1.0030108300004494
16,frozenset({'students'}),frozenset({'assessment'}),0.14649350649350648,0.06493506493506493,0.012467532467532468,0.08510638297872342,1.3106382978723408,0.002954967110811269,1.0220477197221383
17,frozenset({'assessment'}),frozenset({'students'}),0.06493506493506493,0.14649350649350648,0.012467532467532468,0.19200000000000003,1.3106382978723408,0.002954967110811269,1.0563199177060565
